MDL_NO,CAPTION,JUDGE,DISTRICT,DATE_FILED,DATE_TRANSFERRED,DATE_TERMINTAED,MASTER_DOCKET,TOTAL_ACTIONS,TYPE,APPOINTMENT_ORDER,APPOINTMENT_ORDER_CONTESTED,PLAINTIFF_LEAD_COUNSEL ,PLAINTIFF_LEAD_COUNSEL_AUTHORITY,PLAINTIFF_LEAD_COUNSEL_DUTIES,PLAINTIFF_LEADERSHIP_STRUCTURE, PLAINTIFF_LEADERSHIP_AUTHORITY ,PLAINTIFF_LEADERSHIP_DUTIES ,PLAINTIFF_LIAISON_COUNSEL ,DEFENSE_LEAD_COUNSEL,DEFENSE_LEADERSHIP_STRUCTURE  ,DEFENSE _LIAISON_COUNSEL ,RULE_23,MCL,LIMIT_NONLEADER_PRACTICE ,FINANCIAL_CONTRIBUTION,LEADERSHIP_COMPENSATION,RECORDKEEPING,COMMENTS_OLD,Notes,Assigned to,Complete,Order_Count,Sum_OU_Create,Sum_OU_Terminate,Net_OUs,YEARS_PENDING,Source_Table
2818,2818 IN RE: General Motors Air Conditioning Marketing and Sales Practices Litigation,"Leitman, Matthew F.",MIE,2017-11-07,2018-02-01,2018-04-11,2:18-md-2818,15,Sales Practices,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,One atty proposes no leadership structure. Court says that it will use fee order from Electronic Gearshift Litigation as a template for dealing with common benefit work,,Reynold Orsua,checked,1,1,0,1,,old
2819,2819 IN RE: Restasis (Cyclosporine Ophthalmic Emulsion) Antitrust Litigation,"Gershon, Nina",NYE,2017-11-17,2018-01-31,2018-04-04,1:18-md-2819,19,Antitrust,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,Applies Rule 42. Interesting procedure for resolving conflicts beween lead counsel and executive committee. Non-leads can't communicate with court. Non-leads can't communicate with defendants! ***,,Mariah Uustal,checked,4,9,0,9,,old
2820,2820 IN RE: Dicamba Herbicides Litigation,"Limbaugh, Stephen N.",MOE,2017-11-22,2018-02-01,2018-04-17,1:18-md-2820,37,Miscellanous,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,"""As Chair of the Executive Committee, Mr. Downing will have the authority that is customary in that role."" Explains limitation on non-leader practice",,Robert Vogel,checked,2,0,0,0,,old
2824,"2824 IN RE: Gold King Mine Release in San Juan County, Colorado, on August 5, 2015","Johnson, William P.",NM,2017-12-11,2018-04-04,,1:18-md-2824,4,Common Disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stipulated CMO appoints liaison counsel,No appointments. ,Robert Vogel,checked,0,0,0,0,,old
2826,"2826 IN RE: Uber Technologies, Inc., Data Security Breach Litigation","Gutierrez, Philip S",CAC,2017-12-26,2018-04-04,,2:18-ml-2826,17,Miscellanous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Court defers appointment of lead counsel until after it resolves motions to compel arbitration,"No appointment order, case was sent to arbitration. ",Robert Vogel,checked,0,0,0,0,,old
2827,2827 IN RE: Apple Inc. Device Performance Litigation,"Davila, Edward J.",CAN,2017-12-29,2018-04-04,2018-05-15,5:18-md-2827,66,Miscellanous,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,Lots of committees. Court explains why it creates a complex leadership structure.,,Robert Vogel,checked,2,15,0,15,,old
2828,"2828 IN RE: Intel Corp. CPU Marketing, Sales Practices and Products Liability Litigation","Simon, Michael H.",OR,2018-01-08,2018-04-05,2018-06-18,3:18-md-2828,38,Sales Practices,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Interim. Appointments only, no reasoning.",,Robert Vogel,checked,1,0,0,0,,old
2832,2832 IN RE: Liquid Toppings Dispensing System ('447) Patent Litigation,"Moore, K. Michael",FLS,2018-02-05,2018-04-05,,1:18-md-2832,15,Intellectual Property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Appointment in transcript,No appointments.,Mariah Uustal,checked,0,0,0,0,,old
2833,2833 IN RE: FedLoan Student Loan Servicing Litigation,"Jones, C. Darnell",PAE,2018-02-23,2018-06-18,2018-06-18,2:18-md-2833,10,Contract ,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Good ex: of appoint-only order,,Robert Vogel,checked,2,3,0,3,,old
2834,"2834 IN RE: PersonalWeb Technologies, LLC, and Level 3 Communications, LLC, Patent Litigation","Freeman, Beth Labson",CAN,2018-02-27,2018-06-06,,5:18-md-2834,76,Intellectual Property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No appt lead counsel,No appointment order found.,Reynold Orsua,checked,0,0,0,0,,old
