MDL_NO,CAPTION,JUDGE,DISTRICT,DATE_FILED,DATE_TRANSFERRED,DATE_TERMINTAED,MASTER_DOCKET,TOTAL_ACTIONS,TYPE,APPOINTMENT_ORDER,APPOINTMENT_ORDER_CONTESTED,PLAINTIFF_LEAD_COUNSEL ,PLAINTIFF_LEAD_COUNSEL_AUTHORITY,PLAINTIFF_LEAD_COUNSEL_DUTIES,PLAINTIFF_LEADERSHIP_STRUCTURE, PLAINTIFF_LEADERSHIP_AUTHORITY ,PLAINTIFF_LEADERSHIP_DUTIES ,PLAINTIFF_LIAISON_COUNSEL ,DEFENSE_LEAD_COUNSEL,DEFENSE_LEADERSHIP_STRUCTURE  ,DEFENSE _LIAISON_COUNSEL ,RULE_23,MCL,LIMIT_NONLEADER_PRACTICE ,FINANCIAL_CONTRIBUTION,LEADERSHIP_COMPENSATION,RECORDKEEPING,COMMENTS_OLD,Notes,Assigned to,Complete,Order_Count,Sum_OU_Create,Sum_OU_Terminate,Net_OUs,YEARS_PENDING,Source_Table
875,875 IN RE: Asbestos Products Liability Litigation (No. VI),"Robreno, Eduardo C.",PAE,1991-01-17,1991-07-29,2006-07-10,2:91-md-875,192106,Products Liability,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,Order in sample vacates prior order and re-establishes leadersihp committees - UNABLE TO PULL FROM DOCKET ON BLOOMBERG,Excluded from study because orders aren't available electronically,,,0,0,0,0,,old
1431,1431 IN RE: Baycol Products Liability Litigation,"Davis, Michael James",MN,2001-08-21,2001-12-18,2002-02-01,0:01-md-1431,9107,Products Liability,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,Order recognizes non-leads; right to go their own way - UNABLE TO PULL FROM DOCKET ON BLOOMBERG ,,David Noll,checked,2,4,0,4,,old
1566,1566 IN RE: Western States Wholesale Natural Gas Antitrust Litigation,"Jones, Robert Clive",NV,2003-07-16,2003-11-06,2003-11-21,2:03-cv-01431,35,Antitrust,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stipulated order,"There are a lot of appointments in this MDL as plaintiffs got classes certified and class counsel appointments for the purposes of settlements with 1-2 defendants at a time. So there are lots of appointments, but they are generally the same firms appointed to represent the same classes, just for the purposes of settlement with a different defendant. The court also issued separate orders for preliminary and final approval of each settlement.",Robert Vogel,checked,18,17,0,17,,old
1570,"1570 IN RE: Terrorist Attacks on September 11, 2001","Daniels, George B.",NYS,2003-08-21,2003-12-09,,1:03-md-1570,329,Common Disaster,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,,David Noll,checked,2,3,0,3,,old
1654,"1654 IN RE: Compression Labs, Inc., Patent Litigation",Jeremy D. Fogel,CAN,,2005-02-16 00:00:00,2007-06-05 00:00:00,5:05-md-01654,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,2.3,new
1655,1655 IN RE: USF Red Star Inc. Worker Notification Litigation,Petrese B. Tucker,PAE,,2005-02-16 00:00:00,2006-03-14 00:00:00,2:05-md-01655,,,,,,,,,,,,,,,,,,,,,,,DN/complete/no matching orders,,,,,,1.08,new
1656,1656 IN RE: CP Ships Ltd. Securities Litigation,James D. Whittemore,FLM,,2005-02-17 00:00:00,2006-03-03 00:00:00,8:05-md-01656,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,1.04,new
1657,"1657 IN RE: Vioxx Marketing, Sales Practices and Products Liability Litigation",Eldon E. Fallon,LAE,,2005-02-16 00:00:00,2018-09-20 00:00:00,2:05-md-01657,,Products Liability,,,,,,,,,,,,,,,,,,,,,Complete/already downloaded,,,,,,13.59,new
1658,"1658 IN RE: Merck & Co., Inc., Securities, Derivative & ERISA Litigation",Stanley R. Chesler,NJ,,2005-02-23 00:00:00,2016-09-23 00:00:00,2:05-cv-01151,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,11.58,new
1659,1659 IN RE: Nortel Networks Corp. Securities Litigation,Loretta A. Preska,NYS,,2005-02-22 00:00:00,2006-12-26 00:00:00,1:05-md-01659,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,1.84,new
1660,"1660 IN RE: PharmaStem Therapeutics, Inc., Patent Litigation",Gregory Moneta Sleet,DE,,2005-02-16 00:00:00,2010-08-03 00:00:00,"1:05-md-01660, 1:02-cv-00148",,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/no matching orders,,,,,,5.46,new
1661,1661 IN RE: Rivastigmine Patent Litigation,Harold Baer Jr,NYS,,2005-02-16 00:00:00,2008-09-25 00:00:00,1:05-md-01661,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,3.61,new
1663,1663 IN RE: Insurance Brokerage Antitrust Litigation,"Cecchi, Claire C.",NJ,2004-11-19,2005-02-17,,2:04-cv-5184,52,Antitrust,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"""This Court expects that all attorneys will hereafter put aside their differences and work in harmony in the best interests of their clients and with the utmost professionalism.""",,David Noll,checked,4,5,0,5,,old
1665,1665 IN RE: Acacia Media Technologies Corp. Patent Litigation,James Ware,CAN,,2005-02-24 00:00:00,2010-05-02 00:00:00,"5:05-md-01665, 5:05-cv-01114",,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,5.19,new
1668,"1668 IN RE: Federal National Mortgage Association Securities, Derivative & ERISA Litigation",Richard J. Leon,DC,,2005-05-17 00:00:00,2017-10-19 00:00:00,1:05-mc-00234,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,12.42,new
1671,1671 IN RE: Reformulated Gasoline (RFG) Antitrust & Patent Litigation,Christina A. Snyder,CAC,,2005-05-04 00:00:00,2008-12-17 00:00:00,2:05-ml-01671,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,3.62,new
1672,"1672 IN RE: Express Scripts, Inc., Pharmacy Benefits Management Litigation",Henry Edward Autrey,MOE,,2005-04-29 00:00:00,2015-12-10 00:00:00,4:05-md-01672,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,10.61,new
1673,1673 IN RE: Circular Thermostat Antitrust Litigation,William Haskell Alsup,CAN,,2005-05-03 00:00:00,2006-02-27 00:00:00,"3:05-md-01673, M:05-cv-01673",,,,,,,,,,,,,,,,,,,,,,,Not to be assigned,,,,,,0.82,new
1674,1674 IN RE: Community Bank of Northern Virginia Mortgage Lending Practices Litigation,Arthur J. Schwab,PAW,,2005-04-28 00:00:00,2017-02-09 00:00:00,2:03-cv-00425,,,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,11.78,new
1675,1675 IN RE: ACE Limited Securities Litigation,Timothy J. Savage,PAE,,2005-05-02 00:00:00,2009-06-24 00:00:00,2:05-md-01675,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,4.14,new
1677,1677 IN RE: NovaStar Home Mortgage Inc. Mortgage Lending Practices Litigation,William T. Moore Jr,GAS,,2005-04-26 00:00:00,2007-09-18 00:00:00,4:05-cv-01677,,,,,,,,,,,,,,,,,,,,,,BHS manually downloaded electronic records from bloomberg on 6/8,BHS/complete/manual download,,,,,,2.39,new
1682,1682 IN RE: Hydrogen Peroxide Antitrust Litigation,Stewart R. Dalzell,PAE,,2005-06-16 00:00:00,2010-12-07 00:00:00,2:05-cv-00666,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1684,1684 IN RE: Plastics Additives Antitrust Litigation (No. II),Legrome D. Davis,PAE,,2005-06-16 00:00:00,2012-10-24 00:00:00,"2:05-md-01684, 2:03-cv-02038",,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1686,1686 IN RE: Iraq and Afghanistan Detainees,Thomas F. Hogan,DC,,2005-06-17 00:00:00,2007-03-27 00:00:00,"1:06-mc-00145, 1:05-mc-00267",,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1687,1687 IN RE: Ford Motor Co. E-350 Van PL (No. II),Esther Salas,NJ,,2005-06-16 00:00:00,2013-07-15 00:00:00,2:03-cv-04558,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1688,"1688 IN RE: Pfizer Inc. SEC, DER and ERISA",Laura Taylor Swain,NYS,,2005-06-16 00:00:00,2014-07-16 00:00:00,1:05-md-01688,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1689,1689 IN RE: Air Crash Near Woodbury,Charles P. Sifton,NYE,,2005-06-24 00:00:00,2007-09-06 00:00:00,1:05-md-01689,,Air Disaster,,,,,,,,,,,,,,,,,,,,Confirmed no electronic records available on Lexis 6/8/26; BHS confirmed no electronic records on Bloomberg on 6/8,DN/complete/no electronic records avail,,,,,,,new
1695,1695 IN RE: Veeco Instruments Inc. SEC,Colleen McMahon,NYS,,2005-08-22 00:00:00,2008-03-28 00:00:00,1:05-md-01695,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1696,"1696 IN RE: Sierra Wireless, Inc., SEC",Sidney H. Stein,NYS,,2005-08-22 00:00:00,2007-05-15 00:00:00,1:05-md-01696,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1698,"1698 IN RE: American General Life & Accident Insurance Co. Retiree Benefits ""ERISA""",Henry Lee Adams Jr.,FLM,,2005-08-17 00:00:00,2009-03-26 00:00:00,3:05-md-01698,,Employment Practices,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1699,"1699 IN RE: Bextra and Celebrex Marketing, SP & PL",Charles R. Breyer,CAN,,2005-09-06 00:00:00,2013-04-11 00:00:00,3:05-md-01699,,Sales Practices,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1700,"1700 IN RE: FedEx Ground Package System, Inc., Employment Practices Litigation (No. II)","Miller, Robert L.",INN,2005-05-13,2005-08-10,2005-09-27,3:05-md-527,72,Employment Practices ,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,Entered by magistrate judge,,David Noll,checked,3,6,0,6,,old
1702,"1702 IN RE: Air Crash Near Kirksville, Missouri - 10/19/04",Jean C. Hamilton,MOE,,2005-08-16 00:00:00,2008-02-04 00:00:00,4:05-md-01702,,Air Disaster,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1703,"1703 IN RE: Sears, Roebuck & Co. Tools Marketing & SP",John Francis Grady,ILN,,2005-08-12 00:00:00,2012-10-17 00:00:00,1:05-cv-04742,,Sales Practices,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1704,1704 IN RE: M3Power Razor System Marketing & SP,Douglas Preston Woodlock,MA,,2005-10-27 00:00:00,2011-04-12 00:00:00,1:05-cv-11177,,Sales Practices,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1705,1705 IN RE: Xybernaut Corp. SEC,Leonie M. Brinkema,VAE,,2005-11-04 00:00:00,2008-02-20 00:00:00,1:05-cv-01705,,Securities,,,,,,,,,,,,,,,,,,,,"Confirmed no electronic records available on Lexis 6/8/26; BHS downloaded only order available from Bloomberg on 6/8/26, rest are not available",BHS/complete/manual download,,,,,,,new
1706,1706 IN RE: Doral Financial Corp. SEC,Jed Saul Rakoff,NYS,,2005-10-31 00:00:00,2007-07-17 00:00:00,1:05-md-01706,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1708,1708 IN RE: Guidant Corp. Implantable Defibrillators PL,Donovan W. Frank,MN,,2005-11-07 00:00:00,2012-08-20 00:00:00,0:05-md-01708,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1712,1712 IN RE: American Investors Life Insurance Co. Annuity Marketing & SP,Mary A. McLaughlin,PAE,,2005-10-25 00:00:00,2011-08-16 00:00:00,2:05-md-01712,,Sales Practices,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1713,1713 IN RE: Bank of America ATM Fee,Patti B. Saris,MA,,2005-10-31 00:00:00,2007-03-14 00:00:00,1:05-cv-10713,,(Double Check),,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1714,1714 IN RE: Rhodia S.A. SEC,Deborah A. Batts,NYS,,2005-10-21 00:00:00,2008-06-13 00:00:00,1:05-md-01714,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1715,1715 IN RE: Ameriquest Mortgage Co. Mortgage Lending Practices Litigation,Marvin E. Aspen,ILN,,2005-12-13 00:00:00,2018-01-17 00:00:00,1:05-cv-7097,,(Double Check),,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1717,1717 IN RE: Intel Corp. Microprocessor Antitrust Litigation,Leonard P. Stark,DE,,2005-11-08 00:00:00,2015-09-25 00:00:00,1:05-md-01717,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1718,1718 IN RE: Ford Motor Co. Speed Control Deactiviation Switch PL,Bernard A. Friedman,MIE,,2005-10-28 00:00:00,2013-08-06 00:00:00,2:05-md-01718,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1720,1720 IN RE: Payment Card Interchange Fee and Merchant Discount Antitrust Litigation,"Brodie, Margo K.",NYE,2005-07-28,2005-10-19,,1:05-md-1720,109,Antitrust,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,Decided by MJ Orenstein; lots of motion practice; interesting discussion of Payless only wanting to help Milberg; must quote discussion of duties,,Robert Vogel,checked,4,7,0,7,,old
1721,1721 IN RE: Cessna 208 Series Aircraft PL,Kathryn Hoefer Vratil,KS,,2005-12-07 00:00:00,2011-07-21 00:00:00,2:05-md-01721,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1724,1724 IN RE: Viagra PL,Paul Arthur Magnuson,MN,,2006-01-26 00:00:00,2011-11-14 00:00:00,0:06-md-01724,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1725,"1725 IN RE: Delphi Corp. SEC, DER & ""ERISA""",Gerald Ellis Rosen,MIE,,2005-12-12 00:00:00,2009-03-19 00:00:00,2:05-md-01725,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1726,"1726 IN RE: Medtronic, Inc., Implantable Defibrillators PL",James M. Rosenbaum,MN,,2008-12-07 00:00:00,2009-06-30 00:00:00,0:05-md-01726,,Products Liability,,,,,,,,,,,,,,,,,,,,,Not to be assigned,,,,,,,new
1727,1727 IN RE: COBRA Tax Shelters,William T. Lawrence,INS,,2005-12-06 00:00:00,2009-05-07 00:00:00,1:05-ml-09727,,(Double Check),,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1730,1730 IN RE: Hypodermic Products Antitrust Litigation,Jose L. Linares,NJ,,2005-12-19 00:00:00,2014-08-26 00:00:00,2:05-cv-01602,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1733,1733 IN RE: Teflon PL,Ronald Earl Longstaff,IAS,,2006-02-21 00:00:00,2009-05-05 00:00:00,4:06-md-01733,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1735,1735 IN RE: Wal-Mart Wage and Hour EP,Philip Martin Pro,NV,,2006-02-16 00:00:00,2009-11-02 00:00:00,2:06-cv-00225,,Employment Practices,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1736,1736 IN RE: Celexa and Lexapro PL,Rodney W. Sippel,MOE,,2006-02-16 00:00:00,2013-09-04 00:00:00,4:06-md-01736,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1737,"1737 IN RE: American Honda Motor Co., Inc., Oil Filter PL",Christina A. Snyder,CAC,,2006-02-24 00:00:00,2009-10-26 00:00:00,2:06-ml-01737,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1738,1738 IN RE: Vitamin C Antitrust Litigation,"Cogan, Brian M.",NYE,2005-11-10,2006-02-14,,1:06-md-1738,10,Antitrust,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Cursory order,Court grants class certification but does not specifically name class counsel.,Robert Vogel,checked,1,4,0,4,,old
1739,1739 IN RE: Grand Theft Auto Video Game Consumer (No. II),Richard Joseph Sullivan,NYS,,2006-02-13 00:00:00,2010-03-31 00:00:00,1:06-md-01739,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1740,"1740 IN RE: Canon U.S.A., Inc. Digital Cameras PL",Jed Saul Rakoff,NYS,,2006-02-24 00:00:00,2007-07-16 00:00:00,1:06-md-01740,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1741,"1741 IN RE: Isolagen, Inc., SEC & DER",Ronald Lawrence Buckwalter,PAE,,2006-02-23 00:00:00,2009-05-20 00:00:00,2:06-md-01741,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1742,1742 IN RE: Ortho Evra PL,David A. Katz,OHN,,2006-03-01 00:00:00,2015-01-07 00:00:00,1:06-cv-40000,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1743,1743 IN RE: American Family Mutual Insurance Co. Overtime Pay,Wiley Young Daniel,CO,,2006-02-13 00:00:00,2010-12-15 00:00:00,1:06-cv-17430,,Employment Practices,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1744,"1744 IN RE: Marsh & McLennan Companies, Inc., SEC",Colleen McMahon,NYS,,2006-04-18 00:00:00,2009-12-23 00:00:00,1:06-md-01744,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1745,1745 IN RE: Live Concert Antitrust Litigation,Stephen V. Wilson,CAC,,2006-04-17 00:00:00,2012-08-27 00:00:00,2:06-ml-01745,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1748,1748 IN RE: Profiler PL,G. Patrick Murphy,ILS,,2006-04-24 00:00:00,2011-09-29 00:00:00,3:06-cv-01748,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1749,1749 IN RE: General Motors Corp. SEC & DER,Gerald Ellis Rosen,MIE,,2006-04-17 00:00:00,2009-01-06 00:00:00,2:06-md-01749,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1750,1750 IN RE: Sony BMG Audio Compact Disc,Naomi Reice Buchwald,NYS,,2006-04-19 00:00:00,2006-06-23 00:00:00,1:06-md-01750,,,,,,,,,,,,,,,,,,,,,,,Not to be assigned,,,,,,,new
1751,1751 IN RE: Jamster Marketing,Jeffrey T. Miller,CAS,,2006-04-14 00:00:00,2010-07-20 00:00:00,3:05-cv-00819,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1753,"1753 IN RE: Standard Automotive Corp. Retiree Benefits ""ERISA""",Nancy Gertner,MA,,2006-05-02 00:00:00,2007-08-30 00:00:00,"1:05-cv-10355, 1:06-cv-10812?",,,,,,,,,,,,,,,,,,,,,,Confirmed no electronic records available on Lexis 6/8/26; BHS confirmed no electronic records available on 6/8/2026,DN/complete/no electronic records avail,,,,,,,new
1754,1754 IN RE: Apple iPod nano PL,Ronald M. Whyte,CAN,,2006-04-17 00:00:00,2009-12-23 00:00:00,5:06-md-01754,,Products Liability,,,,,,,,,,,,,,,,,,,,"BHS downloaded four available records on 6/8/26. Rest are not available. Note that there were erroneous orders from a different MDL in the folder; BHS could not delete, received error message",BHS/complete/manual download,,,,,,,new
1755,1755 IN RE: Bayou Hedge Funds Investment,Colleen McMahon,NYS,,2006-04-18 00:00:00,2009-07-20 00:00:00,1:06-md-01755,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1760,1760 IN RE: Aredia and Zometa PL,Todd J. Campbell,TNM,,2006-04-18 00:00:00,2014-09-26 00:00:00,3:06-md-01760,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1761,1761 IN RE: Ditropan XL Antitrust Litigation,Jeffrey S. White,CAN,,2006-04-17 00:00:00,2008-01-24 00:00:00,3:06-md-01761,,Antitrust,,,,,,,,,,,,,,,,,,,,,GFB/complete/co-work,,,,,,,new
1763,1763 IN RE: Human Tissue PL,William J. Martini,NJ,,2006-06-21 00:00:00,2013-11-05 00:00:00,2:06-cv-00135,,Products Liability,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1767,1767 IN RE: H&R Block Mortgage Corp. Prescreening,Rudy J. Lozano,INN,,2006-06-20 00:00:00,2008-07-02 00:00:00,2:06-md-00230,,,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1768,1768 IN RE: Methyl Methacrylate (MMA) Antitrust Litigation,Timothy J. Savage,PAE,,2006-06-20 00:00:00,2009-09-29 00:00:00,"2:06-md-01768, 2:10-md-01768",,Antitrust,,,,,,,,,,,,,,,,,,,,,GFB/complete/co-work,,,,,,,new
1769,1769 IN RE: Seroquel Products Liability Litigation,Anne C. Conway,FLM,,2006-07-06 00:00:00,2013-02-14 00:00:00,6:06-md-01769,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1770,1770 IN RE: Wells Fargo Home Mortgage Overtime Pay,Edward Milton Chen,CAN,,2006-06-15 00:00:00,2011-12-08 00:00:00,3:06-md-01770,,,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1771,"1771 IN RE: ""A Million Little Pieces""",Richard J. Holwell,NYS,,2006-06-14 00:00:00,2007-12-04 00:00:00,1:06-md-01771,,,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1772,1772 IN RE: Series 7 Broker Qualification Exam Scoring,John D. Bates,DC,,2006-06-27 00:00:00,2007-09-07 00:00:00,1:06-mc-00355,,,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1775,1775 IN RE: Air Cargo Shipping Services Antitrust Litigation,Brian Mark Cogan,NYE,,2006-06-20 00:00:00,2019-02-06 00:00:00,1:06-md-01775,,Antitrust,,,,,,,,,,,,,,,,,,,,,GFB/complete/co-work,,,,,,,new
1777,"1777 IN RE: SFBC International, Inc., SEC & DER",Stanley R. Chesler,NJ,,2006-06-21 00:00:00,2008-03-10 00:00:00,2:06-cv-00165,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1780,1780 IN RE: Digital Music Antitrust Litigation,Loretta A. Preska,NYS,,2006-08-16 00:00:00,2008-10-21 00:00:00,1:06-md-01780,,Antitrust,,,,,,,,,,,,,,,,,,,,,GFB/complete/co-work,,,,,,,new
1781,1781 IN RE: Cintas Corp. Overtime Pay Arbitration,Richard Gaylore Stearns,CAN,,2006-08-18 00:00:00,2011-06-14 00:00:00,3:06-md-01781,,,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1782,1782 IN RE: Pharmacy Benefit Managers Antitrust Litigation,C. Darnell Jones II,PAE,,2006-08-24 00:00:00,2017-01-19 00:00:00,2:06-md-01782,,Antitrust,,,,,,,,,,,,,,,,,,,,,GFB/complete/co-work,,,,,,,new
1785,1785 IN RE: Bausch & Lomb Inc. Contact Lens Solution PL,David C. Norton,SC,,2006-08-14 00:00:00,2012-08-07 00:00:00,2:06-mn-77777,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1786,"1786 IN RE: H&R Block, Inc., Express IRA Marketing",Richard Everett Dorr,MOW,,2006-08-14 00:00:00,2010-05-17 00:00:00,4:06-md-01786,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1788,"1788 IN RE: Qwest Communications International, Inc. SEC & ""ERISA"" (No. II)",Robert E. Blackburn,CO,,2006-08-15 00:00:00,2009-05-27 00:00:00,1:06-cv-17880,,,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1789,1789 IN RE: Fosamax PL,John Fontaine Keenan,NYS,,2006-08-16 00:00:00,2018-06-11 00:00:00,1:06-md-01789,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1790,1790 IN RE: Volkswagen and Audi Warranty Extension,William G. Young,MA,,2006-08-29 00:00:00,2011-03-31 00:00:00,1:07-md-01790,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1791,1791 IN RE: IN RE: National Security Agency Telecommunications Records Litigation,Vaughn R. Walker,CAN,,2006-08-09 00:00:00,2011-02-01 00:00:00,4:06-md-01791,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/supplemented RA download,,,,,,,new
1792,"1792 IN RE: InPhonic, Inc., Wireless Phone Rebate",Ellen Segal Huvelle,DC,,2006-10-25 00:00:00,2010-02-15 00:00:00,1:06-mc-00507,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1793,1793 IN RE: International Air Transportation Surcharge Antitrust Litigation,Charles R. Breyer,CAN,,2006-10-25 00:00:00,2009-11-19 00:00:00,3:06-md-01793,,Antitrust,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1794,1794 IN RE: Novartis Wage and Hour,Paul Austin Crotty,NYS,,2006-10-30 00:00:00,2009-01-13 00:00:00,1:06-md-01794,,Employment Practices,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1796,1796 IN RE: Department of Veterans Affairs (VA) Data Theft,James Robertson,DC,,2006-11-03 00:00:00,2009-09-29 00:00:00,1:06-mc-00506,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1798,1798 IN RE: Long-Distance Telephone Service Federal Excise Tax Refund,Royce C. Lamberth,DC,,2006-12-28 00:00:00,2008-03-25 00:00:00,1:07-mc-00014,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,GFB/complete/co-work,,,,,,,new
1799,1799 IN RE: Vonage Initial Public Offering (IPO) SEC,Freda L. Wolfson,NJ,,2007-01-09 00:00:00,2009-12-04 00:00:00,3:07-cv-00177,,Securities,,,,,,,,,,,,,,,,,,,,,GFB/complete/co-work,,,,,,,new
1803,"1803 IN RE: Banc of America Investment Services, Inc., Overtime Pay",Alicemarie H. Stotler,CAC,,2006-12-19 00:00:00,2008-03-24 00:00:00,"8:06-cv-00167, 8:07-ml-01803?",,,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1804,1804 IN RE: Stand 'n Seal PL,Thomas W. Thrash Jr.,GAN,,2007-01-05 00:00:00,2013-01-10 00:00:00,1:07-md-01804,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1806,"1806 IN RE: Morgan Stanley & Co., Inc., Overtime Pay (No. II)",Roger T. Benitez,CAS,,2006-12-27 00:00:00,2009-07-10 00:00:00,3:04-cv-01858?,,,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
